solver,Qin,iterations,time,residual_norm
direct,1,0,0.000159,3.54E-16
gmres,1,100,0.062587,9.71E-15
bcg,1,22,0.0053309,2.05E-15
bicgstab,1,27,0.0015725,1.13E-15
direct,1.095477387,0,9.21E-05,1.41E-15
gmres,1.095477387,100,0.0623919,1.78E-14
bcg,1.095477387,22,0.0054079,1.62E-15
bicgstab,1.095477387,27,0.0007311,3.51E-15
direct,1.190954774,0,7.17E-05,1.34E-15
gmres,1.190954774,100,0.0649031,6.41E-15
bcg,1.190954774,22,0.004127,4.15E-15
bicgstab,1.190954774,27,0.000726,1.54E-15
direct,1.286432161,0,0.0001014,4.81E-16
gmres,1.286432161,100,0.0989487,2.48E-14
bcg,1.286432161,22,0.0078833,1.62E-15
bicgstab,1.286432161,27,0.0014374,2.53E-15
direct,1.381909548,0,0.0001115,8.61E-16
gmres,1.381909548,100,0.0831903,3.01E-14
bcg,1.381909548,22,0.0046195,5.83E-15
bicgstab,1.381909548,26,0.0007137,4.46E-15
direct,1.477386935,0,9.29E-05,5.93E-16
gmres,1.477386935,100,0.0680439,1.66E-14
bcg,1.477386935,22,0.0100134,2.90E-15
bicgstab,1.477386935,28,0.0024848,5.35E-15
direct,1.572864322,0,0.0001432,1.01E-15
gmres,1.572864322,100,0.0739042,3.64E-14
bcg,1.572864322,22,0.004679,3.65E-15
bicgstab,1.572864322,26,0.0007257,6.70E-15
direct,1.668341709,0,8.83E-05,8.71E-16
gmres,1.668341709,100,0.0587212,2.22E-14
bcg,1.668341709,22,0.005248,1.51E-15
bicgstab,1.668341709,27,0.0017461,3.20E-15
direct,1.763819095,0,9.68E-05,6.82E-16
gmres,1.763819095,100,0.0561134,2.35E-14
bcg,1.763819095,22,0.0040908,3.33E-15
bicgstab,1.763819095,27,0.0009551,3.97E-15
direct,1.859296482,0,8.45E-05,9.67E-16
gmres,1.859296482,100,0.0574242,2.68E-14
bcg,1.859296482,22,0.0040864,1.84E-15
bicgstab,1.859296482,27,0.0007781,8.75E-15
direct,1.954773869,0,9.69E-05,1.47E-15
gmres,1.954773869,100,0.0646608,3.73E-14
bcg,1.954773869,22,0.0109941,1.71E-15
bicgstab,1.954773869,27,0.0026228,7.11E-15
direct,2.050251256,0,0.0001041,9.89E-16
gmres,2.050251256,100,0.0756019,2.76E-14
bcg,2.050251256,22,0.0044999,2.52E-15
bicgstab,2.050251256,27,0.0008326,2.14E-15
direct,2.145728643,0,7.74E-05,1.66E-15
gmres,2.145728643,100,0.0716882,3.02E-14
bcg,2.145728643,22,0.0081757,5.43E-15
bicgstab,2.145728643,27,0.0015174,7.39E-15
direct,2.24120603,0,0.0001659,1.02E-15
gmres,2.24120603,100,0.1001801,3.63E-14
bcg,2.24120603,22,0.0055871,3.96E-15
bicgstab,2.24120603,27,0.0011409,4.80E-15
direct,2.336683417,0,8.97E-05,1.74E-15
gmres,2.336683417,100,0.0657416,4.06E-14
bcg,2.336683417,22,0.0040474,4.44E-15
bicgstab,2.336683417,28,0.0009121,4.52E-15
direct,2.432160804,0,8.58E-05,2.22E-15
gmres,2.432160804,100,0.0590545,3.92E-14
bcg,2.432160804,22,0.0077338,2.09E-15
bicgstab,2.432160804,27,0.0011604,2.67E-15
direct,2.527638191,0,9.87E-05,1.65E-15
gmres,2.527638191,100,0.081788,2.62E-14
bcg,2.527638191,22,0.0051448,2.68E-15
bicgstab,2.527638191,28,0.0008448,2.25E-15
direct,2.623115578,0,0.0001001,1.54E-15
gmres,2.623115578,100,0.0622676,4.66E-14
bcg,2.623115578,22,0.0048395,7.95E-15
bicgstab,2.623115578,27,0.0007411,5.83E-15
direct,2.718592965,0,8.74E-05,2.59E-15
gmres,2.718592965,100,0.0905991,2.51E-14
bcg,2.718592965,22,0.0073894,9.54E-15
bicgstab,2.718592965,27,0.0014537,8.61E-15
direct,2.814070352,0,0.0001085,1.19E-15
gmres,2.814070352,100,0.0673687,3.94E-14
bcg,2.814070352,22,0.0049746,8.36E-15
bicgstab,2.814070352,28,0.001258,6.01E-15
direct,2.909547739,0,9.41E-05,2.42E-15
gmres,2.909547739,100,0.0555855,4.23E-14
bcg,2.909547739,22,0.0049667,2.20E-15
bicgstab,2.909547739,27,0.0007295,3.08E-15
direct,3.005025126,0,9.16E-05,4.43E-15
gmres,3.005025126,100,0.0556058,3.40E-14
bcg,3.005025126,22,0.0040879,6.21E-15
bicgstab,3.005025126,28,0.0015683,5.99E-15
direct,3.100502513,0,8.93E-05,1.61E-15
gmres,3.100502513,100,0.056073,3.81E-14
bcg,3.100502513,22,0.0044664,2.78E-15
bicgstab,3.100502513,28,0.0007932,6.91E-15
direct,3.195979899,0,0.0001763,3.86E-15
gmres,3.195979899,100,0.0651018,2.16E-14
bcg,3.195979899,22,0.0040779,7.70E-15
bicgstab,3.195979899,28,0.000746,3.12E-15
direct,3.291457286,0,7.22E-05,2.56E-15
gmres,3.291457286,100,0.1243614,4.29E-14
bcg,3.291457286,22,0.0166179,1.78E-14
bicgstab,3.291457286,27,0.00176,5.87E-15
direct,3.386934673,0,0.0001421,1.51E-15
gmres,3.386934673,100,0.0710312,2.73E-14
bcg,3.386934673,22,0.0040125,9.63E-15
bicgstab,3.386934673,27,0.0007163,4.87E-15
direct,3.48241206,0,9.40E-05,2.55E-15
gmres,3.48241206,100,0.0552705,4.54E-14
bcg,3.48241206,22,0.0040451,8.13E-15
bicgstab,3.48241206,27,0.0007144,8.56E-15
direct,3.577889447,0,8.74E-05,2.14E-15
gmres,3.577889447,100,0.0657611,5.74E-14
bcg,3.577889447,22,0.0040275,8.88E-15
bicgstab,3.577889447,27,0.000713,1.02E-14
direct,3.673366834,0,8.88E-05,4.58E-15
gmres,3.673366834,100,0.0612064,3.20E-14
bcg,3.673366834,22,0.0040368,4.01E-15
bicgstab,3.673366834,27,0.0011244,4.44E-15
direct,3.768844221,0,8.85E-05,3.68E-15
gmres,3.768844221,100,0.0839547,3.97E-14
bcg,3.768844221,22,0.0056595,4.78E-15
bicgstab,3.768844221,27,0.0007245,5.83E-15
direct,3.864321608,0,0.0001316,4.98E-15
gmres,3.864321608,100,0.0751886,8.54E-14
bcg,3.864321608,22,0.0061263,4.63E-15
bicgstab,3.864321608,28,0.0008005,5.82E-15
direct,3.959798995,0,9.57E-05,5.64E-15
gmres,3.959798995,100,0.0793376,5.25E-14
bcg,3.959798995,22,0.0042149,6.20E-15
bicgstab,3.959798995,27,0.000792,6.23E-15
direct,4.055276382,0,8.51E-05,1.53E-15
gmres,4.055276382,100,0.063094,4.81E-14
bcg,4.055276382,22,0.0040954,1.33E-14
bicgstab,4.055276382,27,0.001332,5.23E-15
direct,4.150753769,0,0.0001001,2.83E-15
gmres,4.150753769,100,0.061082,7.88E-14
bcg,4.150753769,22,0.0057088,5.16E-15
bicgstab,4.150753769,27,0.000731,3.93E-15
direct,4.246231156,0,0.0001047,4.92E-15
gmres,4.246231156,100,0.0643934,7.40E-14
bcg,4.246231156,22,0.0041122,2.57E-15
bicgstab,4.246231156,27,0.000715,2.01E-14
direct,4.341708543,0,0.0001009,3.44E-15
gmres,4.341708543,100,0.0597037,7.29E-14
bcg,4.341708543,22,0.0040868,1.42E-14
bicgstab,4.341708543,27,0.0007168,1.01E-14
direct,4.43718593,0,6.93E-05,3.36E-15
gmres,4.43718593,100,0.0753671,6.81E-14
bcg,4.43718593,22,0.0043001,5.56E-15
bicgstab,4.43718593,27,0.0007194,7.00E-15
direct,4.532663317,0,0.0001015,3.41E-15
gmres,4.532663317,100,0.0772461,1.03E-13
bcg,4.532663317,22,0.0041251,5.68E-15
bicgstab,4.532663317,27,0.0007198,6.84E-15
direct,4.628140704,0,6.48E-05,5.59E-15
gmres,4.628140704,100,0.0631104,5.62E-14
bcg,4.628140704,22,0.0041957,5.28E-15
bicgstab,4.628140704,27,0.0007389,3.46E-15
direct,4.72361809,0,8.49E-05,4.26E-15
gmres,4.72361809,100,0.0659064,8.01E-14
bcg,4.72361809,22,0.0040359,1.33E-14
bicgstab,4.72361809,27,0.0008804,5.28E-15
direct,4.819095477,0,7.88E-05,4.10E-15
gmres,4.819095477,100,0.0638029,9.98E-14
bcg,4.819095477,22,0.0056164,2.46E-14
bicgstab,4.819095477,27,0.0007381,3.46E-15
direct,4.914572864,0,9.34E-05,3.59E-15
gmres,4.914572864,100,0.0558018,7.09E-14
bcg,4.914572864,22,0.0050174,1.24E-14
bicgstab,4.914572864,27,0.0008556,6.20E-15
direct,5.010050251,0,6.64E-05,3.13E-15
gmres,5.010050251,100,0.0542814,4.38E-14
bcg,5.010050251,22,0.0042469,7.17E-15
bicgstab,5.010050251,28,0.0007342,1.30E-14
direct,5.105527638,0,8.91E-05,2.99E-15
gmres,5.105527638,100,0.0805255,3.75E-14
bcg,5.105527638,22,0.0053975,8.28E-15
bicgstab,5.105527638,27,0.0014388,8.15E-15
direct,5.201005025,0,9.56E-05,3.16E-15
gmres,5.201005025,100,0.0608853,1.40E-13
bcg,5.201005025,22,0.005415,1.18E-14
bicgstab,5.201005025,27,0.0007245,3.20E-15
direct,5.296482412,0,8.77E-05,6.02E-15
gmres,5.296482412,100,0.063471,1.09E-13
bcg,5.296482412,22,0.0045263,7.22E-15
bicgstab,5.296482412,27,0.000737,7.00E-15
direct,5.391959799,0,9.51E-05,2.70E-15
gmres,5.391959799,100,0.0647613,8.72E-14
bcg,5.391959799,22,0.0040828,1.44E-14
bicgstab,5.391959799,28,0.0008439,1.25E-14
direct,5.487437186,0,0.0001023,4.26E-15
gmres,5.487437186,100,0.0677909,5.72E-14
bcg,5.487437186,22,0.0045507,6.50E-15
bicgstab,5.487437186,27,0.0007219,1.68E-14
direct,5.582914573,0,8.03E-05,4.33E-15
gmres,5.582914573,100,0.0663095,7.55E-14
bcg,5.582914573,22,0.0050954,6.00E-15
bicgstab,5.582914573,28,0.0009162,7.27E-15
direct,5.67839196,0,8.23E-05,3.56E-15
gmres,5.67839196,100,0.0591326,6.29E-14
bcg,5.67839196,22,0.0039889,4.70E-15
bicgstab,5.67839196,26,0.0007,1.33E-14
direct,5.773869347,0,8.27E-05,4.51E-15
gmres,5.773869347,100,0.0785348,1.21E-13
bcg,5.773869347,22,0.0040362,5.01E-15
bicgstab,5.773869347,27,0.0007192,2.07E-14
direct,5.869346734,0,8.15E-05,5.38E-15
gmres,5.869346734,100,0.0800842,7.00E-14
bcg,5.869346734,22,0.0049701,2.32E-14
bicgstab,5.869346734,27,0.0015545,6.24E-15
direct,5.964824121,0,8.62E-05,8.23E-15
gmres,5.964824121,100,0.0619998,9.14E-14
bcg,5.964824121,22,0.0058321,8.64E-15
bicgstab,5.964824121,27,0.0007377,4.97E-15
